"Reaction_ID","Reaction","Reaction_Type","Maximum_Abs_Sensitivity","Occurrences","Group","f"
2219,"C4H6 + OH <=> C4H64,2-1OH","PLOG-Duplicate",1.22335448,27,"HTC",4
2215,"C4H6 + O <=> CH2O + C3H4-A","PLOG",0.8045641,53,"HTC",4
2231,"C2H3CHOHCH2OO <=> C4H51,3OH2 + HO2","Elementary",0.68698164,34,"LTC",4
2221,"C4H6 + OH <=> C2H3CHOHCH2","PLOG-Duplicate",0.44992981,20,"HTC",4
2240,"C4H6O1-3OOH4 <=> C2H3 + HO2CH2CHO","Elementary",0.44258333,37,"LTC",4
2255,"C4H64,2-1OH + HO2 <=> C3H4CH2OH-1OOH","Elementary",0.42226221,25,"LTC",4
2239,"C4H6O1-3OOH4 <=> C2H3CHO + CH2O + OH","Elementary",0.41710897,31,"LTC",4
2263,"C4H6 + HO2 <=> C4H61-3OOH4","Elementary",0.37082381,54,"LTC",4
2220,"C4H6 + OH <=> C2H3CHOHCH2","PLOG-Duplicate",0.32285955,26,"HTC",4
2216,"C4H6 + O <=> C2H3 + CH2CHO","PLOG",0.31118344,51,"HTC",4
2218,"C4H6 + OH <=> C4H64,2-1OH","PLOG-Duplicate",0.29114581,34,"HTC",4
2191,"C4H6 + OH <=> C4H5-I + H2O","Duplicate",0.27724431,30,"HTC",4
2250,"C4H64,2-1OH + HO2 <=> C4H6OHOOH1-4-3","Elementary",0.25660074,37,"LTC",4
2211,"C4H6 + H <=> C2H4 + C2H3","PLOG",0.23890611,11,"HTC",4
2190,"C4H6 + O <=> C4H5-I + OH","Elementary",0.23097741,29,"HTC",4
2289,"C4H5-I + O2 <=> C2H3CO + CH2O","PLOG",0.17642804,48,"LTC",4
2233,"C2H3CHOHCH2OO + HO2 <=> C2H3CHOHCH2OOH + O2","Elementary",0.15878586,10,"LTC",4
2212,"C4H71-3 <=> C4H71-4","PLOG",0.13312472,7,"HTC",4
2192,"C4H6 + OH <=> C4H5-I + H2O","Duplicate",0.10699871,16,"HTC",4
2237,"C2H3CHOHCH2OO <=> C4H6O1-3OOH4","Elementary",0.10338647,28,"LTC",4
2193,"C4H6 + HO2 <=> C4H5-I + H2O2","Elementary",0.09847732,21,"HTC",4
2241,"C2H3CHOHCH2OO <=> C4H5OH1-4OOH","Elementary",0.09023469,5,"LTC",4
2235,"C2H3CHOHCH2OO + C2H3CHOHCH2OO => C2H3CHOHCH2O + C2H3CHOHCH2O + O2","Elementary",0.0785932,3,"LTC",4
2189,"C4H6 + O2 <=> C4H5-I + HO2","Elementary",0.07737979,18,"HTC",4
1742,"C4H71-4 + O2 <=> C4H6 + HO2","Elementary",0.07194364,4,"HTC",4
2018,"C4H72-2OH + HO2 <=> C4H63,1-3OH + H2O2","Elementary",0.07009556,2,"HTC",4
2238,"C2H3COCH2Q + H <=> C4H6O1-3OOH4","Elementary",0.06870103,10,"LTC",4
2184,"C4H6 + HO2 <=> C4H5-N + H2O2","Elementary",0.06834019,8,"HTC",4
2244,"C4H5OH1-4OOH + O2 <=> C4H5OH1-4OOH-2OO","Elementary",0.06809758,9,"LTC",4
2242,"C4H5OH1-4OOH <=> C3H3OH + CH2O + OH","Elementary",0.06479273,9,"LTC",4
2312,"C4H5-N + O2 <=> CH2CHCHCHO + O","PLOG-Duplicate",0.06141129,6,"LTC",4
2181,"C4H6 + O <=> C4H5-N + OH","Elementary",0.05797324,3,"HTC",4
2201,"C4H5-2 <=> C4H5-I","Elementary",0.05774482,3,"HTC",4
2302,"C4H5-I + HO2 <=> C3H3CH2OOH","Elementary",0.0556315,2,"LTC",4
2210,"C4H6 + H <=> C4H71-4","PLOG",0.05422699,1,"HTC",4
2266,"C4H61-4OOH3 <=> C2H3CHOCH2 + OH","Elementary",0.05200778,1,"LTC",4
