Case_ID,Temperature,Reaction_ID,YAML_Index,Reaction,Reaction_Type,Sensitivity,Abs_Sensitivity,Max_Carbon
50,1016.0,2215,2214,C4H6 + O <=> CH2O + C3H4-A,PLOG,0.3380379,0.3380379,0
50,1016.0,2216,2215,C4H6 + O <=> C2H3 + CH2CHO,PLOG,-0.20665987,0.20665987,0
50,1016.0,2263,2262,C4H6 + HO2 <=> C4H61-3OOH4,Elementary,-0.20088715,0.20088715,0
50,1016.0,271,270,C2H3 + O2 <=> CH2CHO + O,PLOG-Duplicate,-0.17342916,0.17342916,0
50,1016.0,270,269,C2H3 + O2 <=> CH2CHO + O,PLOG-Duplicate,-0.15019647,0.15019647,0
50,1016.0,2289,2288,C4H5-I + O2 <=> C2H3CO + CH2O,PLOG,-0.13845163,0.13845163,0
50,1016.0,280,279,C2H3 + O2 => CH2O + H + CO,PLOG-Duplicate,0.09676652,0.09676652,0
50,1016.0,2190,2189,C4H6 + O <=> C4H5-I + OH,Elementary,-0.07504776,0.07504776,0
50,1016.0,266,265,C2H3 + O2 <=> C2H3OO,PLOG-Duplicate,0.0716812,0.0716812,0
50,1016.0,267,266,C2H3 + O2 <=> C2H3OO,PLOG-Duplicate,0.06922849,0.06922849,0
50,1016.0,786,785,C3H5-A + HO2 <=> C3H5O + OH,PLOG,-0.063468,0.063468,0
50,1016.0,2250,2249,"C4H64,2-1OH + HO2 <=> C4H6OHOOH1-4-3",Elementary,-0.06110316,0.06110316,0
50,1016.0,2193,2192,C4H6 + HO2 <=> C4H5-I + H2O2,Elementary,-0.05690838,0.05690838,0
50,1016.0,2240,2239,C4H6O1-3OOH4 <=> C2H3 + HO2CH2CHO,Elementary,-0.05517083,0.05517083,0
50,1016.0,2237,2236,C2H3CHOHCH2OO <=> C4H6O1-3OOH4,Elementary,-0.05318187,0.05318187,0
50,1016.0,21,20,H2O2 (+M) <=> OH + OH (+M),Falloff,-0.05072761,0.05072761,0
29,1045.0,2215,2214,C4H6 + O <=> CH2O + C3H4-A,PLOG,0.43284473,0.43284473,0
29,1045.0,2216,2215,C4H6 + O <=> C2H3 + CH2CHO,PLOG,-0.23601632,0.23601632,0
29,1045.0,271,270,C2H3 + O2 <=> CH2CHO + O,PLOG-Duplicate,-0.22586543,0.22586543,0
29,1045.0,2263,2262,C4H6 + HO2 <=> C4H61-3OOH4,Elementary,-0.19823364,0.19823364,0
29,1045.0,270,269,C2H3 + O2 <=> CH2CHO + O,PLOG-Duplicate,-0.16451236,0.16451236,0
29,1045.0,281,280,C2H3 + O2 => CH2O + H + CO,PLOG-Duplicate,0.12524304,0.12524304,0
29,1045.0,5,4,O2 + H <=> O + OH,Elementary,-0.12165778,0.12165778,0
29,1045.0,2190,2189,C4H6 + O <=> C4H5-I + OH,Elementary,-0.11528715,0.11528715,0
29,1045.0,786,785,C3H5-A + HO2 <=> C3H5O + OH,PLOG,-0.11046421,0.11046421,0
29,1045.0,21,20,H2O2 (+M) <=> OH + OH (+M),Falloff,-0.10874802,0.10874802,0
29,1045.0,2193,2192,C4H6 + HO2 <=> C4H5-I + H2O2,Elementary,-0.08253756,0.08253756,0
29,1045.0,279,278,C2H3 + O2 <=> CH2O + HCO,PLOG-Duplicate,0.07348757,0.07348757,0
29,1045.0,2189,2188,C4H6 + O2 <=> C4H5-I + HO2,Elementary,-0.06282693,0.06282693,0
29,1045.0,2312,2311,C4H5-N + O2 <=> CH2CHCHCHO + O,PLOG-Duplicate,-0.06141129,0.06141129,0
29,1045.0,31,30,HO2 + HO2 <=> H2O2 + O2,Duplicate,0.06049876,0.06049876,0
29,1045.0,280,279,C2H3 + O2 => CH2O + H + CO,PLOG-Duplicate,0.05934391,0.05934391,0
29,1045.0,707,706,C3H6 + O2 <=> C3H5-A + HO2,Elementary,0.05883132,0.05883132,0
29,1045.0,2191,2190,C4H6 + OH <=> C4H5-I + H2O,Duplicate,-0.05837222,0.05837222,0
29,1045.0,2289,2288,C4H5-I + O2 <=> C2H3CO + CH2O,PLOG,-0.05251938,0.05251938,0
29,1045.0,30,29,HO2 + OH <=> H2O + O2,Elementary,0.05181984,0.05181984,0
29,1045.0,267,266,C2H3 + O2 <=> C2H3OO,PLOG-Duplicate,0.05075634,0.05075634,0
47,1046.0,2215,2214,C4H6 + O <=> CH2O + C3H4-A,PLOG,0.43962135,0.43962135,0
47,1046.0,2216,2215,C4H6 + O <=> C2H3 + CH2CHO,PLOG,-0.22877496,0.22877496,0
47,1046.0,271,270,C2H3 + O2 <=> CH2CHO + O,PLOG-Duplicate,-0.21245175,0.21245175,0
47,1046.0,2263,2262,C4H6 + HO2 <=> C4H61-3OOH4,Elementary,-0.20457739,0.20457739,0
47,1046.0,270,269,C2H3 + O2 <=> CH2CHO + O,PLOG-Duplicate,-0.15568423,0.15568423,0
47,1046.0,281,280,C2H3 + O2 => CH2O + H + CO,PLOG-Duplicate,0.11668363,0.11668363,0
47,1046.0,2190,2189,C4H6 + O <=> C4H5-I + OH,Elementary,-0.10911332,0.10911332,0
47,1046.0,786,785,C3H5-A + HO2 <=> C3H5O + OH,PLOG,-0.09844383,0.09844383,0
47,1046.0,2289,2288,C4H5-I + O2 <=> C2H3CO + CH2O,PLOG,-0.0982227,0.0982227,0
47,1046.0,2193,2192,C4H6 + HO2 <=> C4H5-I + H2O2,Elementary,-0.0768787,0.0768787,0
47,1046.0,21,20,H2O2 (+M) <=> OH + OH (+M),Falloff,-0.0684156,0.0684156,0
47,1046.0,279,278,C2H3 + O2 <=> CH2O + HCO,PLOG-Duplicate,0.06198862,0.06198862,0
47,1046.0,2189,2188,C4H6 + O2 <=> C4H5-I + HO2,Elementary,-0.05909703,0.05909703,0
47,1046.0,31,30,HO2 + HO2 <=> H2O2 + O2,Duplicate,0.05879328,0.05879328,0
47,1046.0,280,279,C2H3 + O2 => CH2O + H + CO,PLOG-Duplicate,0.05482396,0.05482396,0
38,1051.0,2215,2214,C4H6 + O <=> CH2O + C3H4-A,PLOG,0.44270429,0.44270429,0
38,1051.0,2216,2215,C4H6 + O <=> C2H3 + CH2CHO,PLOG,-0.23473556,0.23473556,0
38,1051.0,271,270,C2H3 + O2 <=> CH2CHO + O,PLOG-Duplicate,-0.22176167,0.22176167,0
38,1051.0,2263,2262,C4H6 + HO2 <=> C4H61-3OOH4,Elementary,-0.20532787,0.20532787,0
38,1051.0,270,269,C2H3 + O2 <=> CH2CHO + O,PLOG-Duplicate,-0.16205575,0.16205575,0
38,1051.0,281,280,C2H3 + O2 => CH2O + H + CO,PLOG-Duplicate,0.12481151,0.12481151,0
38,1051.0,2190,2189,C4H6 + O <=> C4H5-I + OH,Elementary,-0.11611266,0.11611266,0
38,1051.0,786,785,C3H5-A + HO2 <=> C3H5O + OH,PLOG,-0.10728867,0.10728867,0
38,1051.0,21,20,H2O2 (+M) <=> OH + OH (+M),Falloff,-0.08699944,0.08699944,0
38,1051.0,2193,2192,C4H6 + HO2 <=> C4H5-I + H2O2,Elementary,-0.08284163,0.08284163,0
38,1051.0,5,4,O2 + H <=> O + OH,Elementary,-0.07760527,0.07760527,0
38,1051.0,2289,2288,C4H5-I + O2 <=> C2H3CO + CH2O,PLOG,-0.07345999,0.07345999,0
38,1051.0,279,278,C2H3 + O2 <=> CH2O + HCO,PLOG-Duplicate,0.06990286,0.06990286,0
38,1051.0,31,30,HO2 + HO2 <=> H2O2 + O2,Duplicate,0.06422694,0.06422694,0
38,1051.0,2189,2188,C4H6 + O2 <=> C4H5-I + HO2,Elementary,-0.06334861,0.06334861,0
38,1051.0,280,279,C2H3 + O2 => CH2O + H + CO,PLOG-Duplicate,0.05880444,0.05880444,0
38,1051.0,2312,2311,C4H5-N + O2 <=> CH2CHCHCHO + O,PLOG-Duplicate,-0.05496574,0.05496574,0
38,1051.0,707,706,C3H6 + O2 <=> C3H5-A + HO2,Elementary,0.05084079,0.05084079,0
52,1067.0,2215,2214,C4H6 + O <=> CH2O + C3H4-A,PLOG,0.2569419,0.2569419,0
52,1067.0,2263,2262,C4H6 + HO2 <=> C4H61-3OOH4,Elementary,-0.16607087,0.16607087,0
52,1067.0,2216,2215,C4H6 + O <=> C2H3 + CH2CHO,PLOG,-0.16055324,0.16055324,0
52,1067.0,2289,2288,C4H5-I + O2 <=> C2H3CO + CH2O,PLOG,-0.13099807,0.13099807,0
52,1067.0,270,269,C2H3 + O2 <=> CH2CHO + O,PLOG-Duplicate,-0.12544879,0.12544879,0
52,1067.0,271,270,C2H3 + O2 <=> CH2CHO + O,PLOG-Duplicate,-0.11945161,0.11945161,0
52,1067.0,2193,2192,C4H6 + HO2 <=> C4H5-I + H2O2,Elementary,-0.07213927,0.07213927,0
52,1067.0,280,279,C2H3 + O2 => CH2O + H + CO,PLOG-Duplicate,0.06709212,0.06709212,0
52,1067.0,2190,2189,C4H6 + O <=> C4H5-I + OH,Elementary,-0.06361734,0.06361734,0
52,1067.0,21,20,H2O2 (+M) <=> OH + OH (+M),Falloff,-0.05578375,0.05578375,0
52,1067.0,266,265,C2H3 + O2 <=> C2H3OO,PLOG-Duplicate,0.05316807,0.05316807,0
52,1067.0,2189,2188,C4H6 + O2 <=> C4H5-I + HO2,Elementary,-0.05224162,0.05224162,0
52,1067.0,2237,2236,C2H3CHOHCH2OO <=> C4H6O1-3OOH4,Elementary,-0.05004925,0.05004925,0
34,1072.0,2215,2214,C4H6 + O <=> CH2O + C3H4-A,PLOG,0.26973999,0.26973999,0
