Species,Carbon_Number,Occurrences
C3H4-A,3,53
C4H6,4,406
CH2O,1,233
O,0,275
C2H3,2,354
CH2CHO,2,175
C4H61-3OOH4,4,54
HO2,0,327
O2,0,456
C2H3CO,3,48
C4H5-I,4,167
H,0,114
CO,1,67
OH,0,323
C2H3OO,2,60
C3H5O,3,31
C3H5-A,3,39
"C4H64,2-1OH",4,123
C4H6OHOOH1-4-3,4,37
H2O2,0,114
HO2CH2CHO,2,37
C4H6O1-3OOH4,4,106
C2H3CHOHCH2OO,4,80
HCO,1,34
CH2CHCHCHO,4,6
C4H5-N,4,17
C3H6,3,4
H2O,0,55
AC3H5OOH,3,4
C2H4,2,11
C4H71-4,4,12
CH3O,1,3
CH3,1,6
C4H71-3,4,7
CH2CO,2,3
C4H5-2,4,3
C2H3CHOHCH2,4,46
"C4H51,3OH2",4,34
C3H4CH2OH-1OOH,4,25
C2H3CHO,3,31
C2H3CHOHCH2OOH,4,10
C4H5OH1-4OOH,4,23
C2H3CHOHCH2O,4,3
C3H3OH,3,9
C4H5OH1-4OOH-2OO,4,9
O2CHO,1,2
"C4H63,1-3OH",4,2
C4H72-2OH,4,2
C2H3COCH2Q,4,10
C2H3CHOCH2,4,1
C4H61-4OOH3,4,1
C3H3CH2OOH,4,2
