Reaction_ID,Reaction,Reaction_Type,Maximum_Abs_Sensitivity,Occurrences
2218,"C4H6 + OH <=> C4H64,2-1OH",PLOG-Duplicate,1.22335448,61
2215,C4H6 + O <=> CH2O + C3H4-A,PLOG,0.8045641,53
2231,"C2H3CHOHCH2OO <=> C4H51,3OH2 + HO2",Elementary,0.68698164,34
2220,C4H6 + OH <=> C2H3CHOHCH2,PLOG-Duplicate,0.44992981,46
2240,C4H6O1-3OOH4 <=> C2H3 + HO2CH2CHO,Elementary,0.44258333,37
5,O2 + H <=> O + OH,Elementary,0.42755992,21
2255,"C4H64,2-1OH + HO2 <=> C3H4CH2OH-1OOH",Elementary,0.42226221,25
2239,C4H6O1-3OOH4 <=> C2H3CHO + CH2O + OH,Elementary,0.41710897,31
2263,C4H6 + HO2 <=> C4H61-3OOH4,Elementary,0.37082381,54
31,HO2 + HO2 <=> H2O2 + O2,Duplicate,0.31201996,56
2216,C4H6 + O <=> C2H3 + CH2CHO,PLOG,0.31118344,51
2191,C4H6 + OH <=> C4H5-I + H2O,Duplicate,0.27724431,46
2250,"C4H64,2-1OH + HO2 <=> C4H6OHOOH1-4-3",Elementary,0.25660074,37
270,C2H3 + O2 <=> CH2CHO + O,PLOG-Duplicate,0.2502209,112
2211,C4H6 + H <=> C2H4 + C2H3,PLOG,0.23890611,11
33,H + O2 (+M) <=> HO2 (+M),Falloff,0.23648464,9
2190,C4H6 + O <=> C4H5-I + OH,Elementary,0.23097741,29
2289,C4H5-I + O2 <=> C2H3CO + CH2O,PLOG,0.17642804,48
2233,C2H3CHOHCH2OO + HO2 <=> C2H3CHOHCH2OOH + O2,Elementary,0.15878586,10
278,C2H3 + O2 <=> CH2O + HCO,PLOG-Duplicate,0.14675573,27
2212,C4H71-3 <=> C4H71-4,PLOG,0.13312472,7
280,C2H3 + O2 => CH2O + H + CO,PLOG-Duplicate,0.12524304,56
786,C3H5-A + HO2 <=> C3H5O + OH,PLOG,0.11421284,31
266,C2H3 + O2 <=> C2H3OO,PLOG-Duplicate,0.11078062,60
21,H2O2 (+M) <=> OH + OH (+M),Falloff,0.10874802,27
2237,C2H3CHOHCH2OO <=> C4H6O1-3OOH4,Elementary,0.10338647,28
2193,C4H6 + HO2 <=> C4H5-I + H2O2,Elementary,0.09847732,21
360,CH2CHO (+M) <=> CH2CO + H (+M),Falloff,0.09753272,3
2241,C2H3CHOHCH2OO <=> C4H5OH1-4OOH,Elementary,0.09023469,5
2235,C2H3CHOHCH2OO + C2H3CHOHCH2OO => C2H3CHOHCH2O + C2H3CHOHCH2O + O2,Elementary,0.0785932,3
30,HO2 + OH <=> H2O + O2,Elementary,0.07844359,6
2189,C4H6 + O2 <=> C4H5-I + HO2,Elementary,0.07737979,18
1742,C4H71-4 + O2 <=> C4H6 + HO2,Elementary,0.07194364,4
2018,"C4H72-2OH + HO2 <=> C4H63,1-3OH + H2O2",Elementary,0.07009556,2
2238,C2H3COCH2Q + H <=> C4H6O1-3OOH4,Elementary,0.06870103,10
2184,C4H6 + HO2 <=> C4H5-N + H2O2,Elementary,0.06834019,8
2244,C4H5OH1-4OOH + O2 <=> C4H5OH1-4OOH-2OO,Elementary,0.06809758,9
180,HCO + O2 <=> O2CHO,Elementary,0.06725735,2
98,CH3 + HO2 <=> CH3O + OH,Elementary,0.06658104,3
2242,C4H5OH1-4OOH <=> C3H3OH + CH2O + OH,Elementary,0.06479273,9
361,CH2CHO (+M) <=> CH3 + CO (+M),Falloff,0.06422941,3
371,CH2CHO + O2 => CH2O + CO + OH,PLOG,0.06410203,6
2311,C4H5-N + O2 <=> CH2CHCHCHO + O,PLOG-Duplicate,0.06141129,6
707,C3H6 + O2 <=> C3H5-A + HO2,Elementary,0.05883132,3
2181,C4H6 + O <=> C4H5-N + OH,Elementary,0.05797324,3
691,C3H6 <=> C3H5-A + H,PLOG-Duplicate,0.05789036,1
155,CH2O + OH <=> HCO + H2O,Elementary,0.05780309,3
2201,C4H5-2 <=> C4H5-I,Elementary,0.05774482,3
162,HCO + M <=> H + CO + M,ThirdBody,0.05657707,2
2302,C4H5-I + HO2 <=> C3H3CH2OOH,Elementary,0.0556315,2
787,C3H5-A + HO2 <=> AC3H5OOH,PLOG,0.05498829,4
2210,C4H6 + H <=> C4H71-4,PLOG,0.05422699,1
2266,C4H61-4OOH3 <=> C2H3CHOCH2 + OH,Elementary,0.05200778,1
