Rxn,Unsrt,data_type
786,4,constant;end_points
787,4,constant;end_points
2302,4,constant;end_points
2312,4,constant;end_points
2218,4,constant;end_points
2219,4,constant;end_points
2263,4,constant;end_points
2220,4,constant;end_points
2221,4,constant;end_points
2223,4,constant;end_points
2231,4,constant;end_points
2233,4,constant;end_points
2237,4,constant;end_points
2241,4,constant;end_points
2238,4,constant;end_points
2239,4,constant;end_points
2240,4,constant;end_points
2242,4,constant;end_points
2266,4,constant;end_points
2244,4,constant;end_points
2250,4,constant;end_points
2255,4,constant;end_points
