C3H5-A + HO2 <=> C3H5O + OH	786	PLOG
C3H5-A + HO2 <=> AC3H5OOH	787	PLOG
C4H6 + OH <=> C4H64,2-1OH	2218	PLOG-Duplicate
C4H6 + OH <=> C2H3CHOHCH2	2219	PLOG-Duplicate
C4H7O2-1 <=> CH2O + C3H5-S	2220	PLOG
C2H3CHOHCH2OO <=> C4H51,3OH2 + HO2	2221	Elementary
C2H3CHOHCH2OO + HO2 <=> C2H3CHOHCH2OOH + O2	2223	Elementary
C2H3CHOHCH2OO <=> C4H6O1-3OOH4	2231	Elementary
C2H3COCH2Q + H <=> C4H6O1-3OOH4	2233	Elementary
C4H6O1-3OOH4 <=> C2H3CHO + CH2O + OH	2237	Elementary
C4H6O1-3OOH4 <=> C2H3 + HO2CH2CHO	2238	Elementary
C2H3CHOHCH2OO <=> C4H5OH1-4OOH	2239	Elementary
C4H5OH1-4OOH <=> C3H3OH + CH2O + OH	2240	Elementary
C4H5OH1-4OOH + O2 <=> C4H5OH1-4OOH-2OO	2241	Elementary
C4H64,2-1OH + HO2 <=> C4H6OHOOH1-4-3	2242	Elementary
C4H64,2-1OH + HO2 <=> C3H4CH2OH-1OOH	2244	Elementary
C4H6 + HO2 <=> C4H61-3OOH4	2250	Elementary
C4H61-4OOH3 <=> C2H3CHOCH2 + OH	2255	Elementary
C4H5-I + HO2 <=> C3H3CH2OOH	2263	Elementary
C4H5-N + O2 <=> CH2CHCHCHO + O	2266	PLOG-Duplicate
