Case_ID,Temperature,Reaction_ID,YAML_Index,Reaction,Reaction_Type,Sensitivity,Abs_Sensitivity,Max_Carbon
5,1000.0,100,99,2 ho2 => h2o2 + o2,Duplicate,0.17767777,0.17767777,0
5,1000.0,1093,1092,nc7h16 + ho2 => c7h15-2 + h2o2,Elementary,-0.156241,0.156241,0
5,1000.0,1095,1094,nc7h16 + ho2 => c7h15-3 + h2o2,Elementary,-0.13922262,0.13922262,0
5,1000.0,102,101,h2o2 (+M) => 2 oh (+M),Falloff,-0.11982797,0.11982797,0
5,1000.0,1309,1308,c7h15o2-2 => c7h14ooh2-4,Elementary,-0.10868894,0.10868894,0
5,1000.0,553,552,c2h5 + ho2 => c2h5o + oh,Elementary,-0.09641329,0.09641329,0
5,1000.0,1278,1277,c7h15-2 + o2 => c7h15o2-2,Elementary,-0.08098723,0.08098723,0
5,1000.0,1187,1186,c7h15-2 => pc4h9 + c3h6,Elementary,0.07880488,0.07880488,0
5,1000.0,1277,1276,c7h15o2-2 => c7h15-2 + o2,Elementary,0.07839441,0.07839441,0
5,1000.0,539,538,ch3o2 + M => ch3 + o2 + M,ThirdBody,0.07654127,0.07654127,0
5,1000.0,759,758,pc4h9o2 => c4h8ooh1-3,Elementary,-0.07333276,0.07333276,0
5,1000.0,540,539,ch3 + o2 + M => ch3o2 + M,ThirdBody,-0.07205701,0.07205701,0
5,1000.0,1097,1096,nc7h16 + ho2 => c7h15-4 + h2o2,Elementary,-0.07083133,0.07083133,0
5,1000.0,1091,1090,nc7h16 + ho2 => c7h15-1 + h2o2,Elementary,-0.06430169,0.06430169,0
5,1000.0,1410,1409,c7h14ooh2-4 + o2 => c7h14ooh2-4o2,Elementary,-0.06407309,0.06407309,0
5,1000.0,1323,1322,c7h15o2-4 => c7h14ooh4-2,Elementary,-0.06403552,0.06403552,0
5,1000.0,1319,1318,c7h15o2-3 => c7h14ooh3-5,Elementary,-0.0629634,0.0629634,0
5,1000.0,1431,1430,c7h14ooh2-4o2 => nc7ket24 + oh,Elementary,-0.06185503,0.06185503,0
5,1000.0,1193,1192,c7h15-3 => c4h8-1 + nc3h7,Elementary,0.06134361,0.06134361,0
5,1000.0,89,88,ch3 + ho2 => ch4 + o2,Elementary,0.05807067,0.05807067,0
5,1000.0,1303,1302,c7h15o2-1 => c7h14ooh1-3,Elementary,-0.0562434,0.0562434,0
5,1000.0,37,36,c2h5 + o2 => c2h4 + ho2,Elementary,0.05583556,0.05583556,0
5,1000.0,534,533,2 ho2 => h2o2 + o2,Duplicate,0.05341274,0.05341274,0
5,1000.0,1141,1140,nc7h16 + ch3o2 => c7h15-2 + ch3o2h,Elementary,-0.05308187,0.05308187,0
5,1000.0,51,50,h + o2 (+M) => ho2 (+M),Falloff,0.05218855,0.05218855,0
5,1000.0,1143,1142,nc7h16 + ch3o2 => c7h15-3 + ch3o2h,Elementary,-0.05003228,0.05003228,0
11,1050.0,100,99,2 ho2 => h2o2 + o2,Duplicate,0.1686942,0.1686942,0
11,1050.0,1095,1094,nc7h16 + ho2 => c7h15-3 + h2o2,Elementary,-0.13619407,0.13619407,0
11,1050.0,102,101,h2o2 (+M) => 2 oh (+M),Falloff,-0.13178428,0.13178428,0
11,1050.0,1093,1092,nc7h16 + ho2 => c7h15-2 + h2o2,Elementary,-0.13044944,0.13044944,0
11,1050.0,553,552,c2h5 + ho2 => c2h5o + oh,Elementary,-0.09340034,0.09340034,0
11,1050.0,540,539,ch3 + o2 + M => ch3o2 + M,ThirdBody,-0.08807274,0.08807274,0
11,1050.0,539,538,ch3o2 + M => ch3 + o2 + M,ThirdBody,0.08577145,0.08577145,0
11,1050.0,89,88,ch3 + ho2 => ch4 + o2,Elementary,0.06940955,0.06940955,0
11,1050.0,1097,1096,nc7h16 + ho2 => c7h15-4 + h2o2,Elementary,-0.06622522,0.06622522,0
11,1050.0,1091,1090,nc7h16 + ho2 => c7h15-1 + h2o2,Elementary,-0.06158813,0.06158813,0
11,1050.0,37,36,c2h5 + o2 => c2h4 + ho2,Elementary,0.05581776,0.05581776,0
11,1050.0,1309,1308,c7h15o2-2 => c7h14ooh2-4,Elementary,-0.0507092,0.0507092,0
15,1050.0,100,99,2 ho2 => h2o2 + o2,Duplicate,0.16863585,0.16863585,0
15,1050.0,540,539,ch3 + o2 + M => ch3o2 + M,ThirdBody,-0.15578999,0.15578999,0
15,1050.0,102,101,h2o2 (+M) => 2 oh (+M),Falloff,-0.13186129,0.13186129,0
15,1050.0,539,538,ch3o2 + M => ch3 + o2 + M,ThirdBody,0.12776926,0.12776926,0
15,1050.0,89,88,ch3 + ho2 => ch4 + o2,Elementary,0.11727457,0.11727457,0
