Species,Carbon_Number,Occurrences
h2o2,0,73
o2,0,245
ho2,0,186
nc7h16,7,103
c7h15-2,7,49
c7h15-3,7,51
oh,0,205
c7h14ooh2-4,7,27
c7h15o2-2,7,27
c2h5,2,41
c2h5o,2,13
pc4h9,4,8
c3h6,3,87
ch3o2,1,40
ch3,1,172
c4h8ooh1-3,4,12
pc4h9o2,4,12
c7h15-4,7,23
c7h15-1,7,7
c7h14ooh2-4o2,7,14
c7h14ooh4-2,7,12
c7h15o2-4,7,15
c7h15o2-3,7,20
c7h14ooh3-5,7,17
nc7ket24,7,7
nc3h7,3,14
c4h8-1,4,5
ch4,1,65
c7h14ooh1-3,7,12
c7h15o2-1,7,10
c2h4,2,50
ch3o2h,1,12
h,0,223
ic3h7,3,17
h2,0,117
ch3o,1,29
o,0,53
c3h8,3,7
ch2cho,2,25
c2h3,2,82
c5h11-1,5,6
h2o,0,76
c3h5o,3,11
c3h5-a,3,90
ch2o,1,12
c3h4-a,3,35
hco,1,31
co,1,31
ch2(s),1,28
ch2,1,13
c2h2,2,3
hcco,2,1
ch3coch2,3,1
nc3h7cho,4,1
c7h14ooh1-3o2,7,10
nc7ket13,7,4
c7h14ooh4-3,7,4
c4h8ooh1-3o2,4,10
nc4ket13,4,4
nc7ket35,7,4
c7h14ooh3-5o2,7,10
c7h14ooh1-2,7,4
c4h8ooh1-2,4,4
c7h14ooh2-3,7,3
c7h14ooh4-2o2,7,9
c7h14ooh3-4,7,3
nc7ket42,7,3
c7h14o2-4,7,3
c5h10-1,5,6
ch3cho,2,2
