Reaction_ID,Reaction,Reaction_Type,Maximum_Abs_Sensitivity,Occurrences
15,h + o2 => o + oh,Elementary,0.53586918,25
100,2 ho2 => h2o2 + o2,Duplicate,0.21632754,20
1093,nc7h16 + ho2 => c7h15-2 + h2o2,Elementary,0.18344501,12
1071,nc7h16 + h => c7h15-3 + h2,Elementary,0.18116978,19
553,c2h5 + ho2 => c2h5o + oh,Elementary,0.17969758,13
318,c3h6 + h2 => ic3h7 + h,Elementary,0.1703744,17
254,c2h3 + ch3 => c3h6,Elementary,0.17008374,19
1095,nc7h16 + ho2 => c7h15-3 + h2o2,Elementary,0.16666443,12
258,c3h5-a + h => c3h6,Elementary,0.16526285,19
1309,c7h15o2-2 => c7h14ooh2-4,Elementary,0.164881,14
540,ch3 + o2 + M => ch3o2 + M,ThirdBody,0.16077287,14
43,ch3 + ho2 => ch3o + oh,Elementary,0.1413943,29
229,c2h4 + ch3 => c2h3 + ch4,Elementary,0.14067392,14
37,c2h5 + o2 => c2h4 + ho2,Elementary,0.13752571,10
1319,c7h15o2-3 => c7h14ooh3-5,Elementary,0.13620174,11
535,c2h3 + o2 => ch2cho + o,Elementary,0.13611963,25
1011,ch2(s) + o2 => co + oh + h,Elementary,0.13404684,6
1085,nc7h16 + oh => c7h15-2 + h2o,Elementary,0.13325002,4
102,h2o2 (+M) => 2 oh (+M),Falloff,0.13186129,14
539,ch3o2 + M => ch3 + o2 + M,ThirdBody,0.12883989,14
1193,c7h15-3 => c4h8-1 + nc3h7,Elementary,0.12744391,5
23,hco + M => h + co + M,ThirdBody,0.11938601,10
1410,c7h14ooh2-4 + o2 => c7h14ooh2-4o2,Elementary,0.11926781,5
1431,c7h14ooh2-4o2 => nc7ket24 + oh,Elementary,0.11890599,6
89,ch3 + ho2 => ch4 + o2,Elementary,0.11764995,25
833,c3h5-a => c3h4-a + h,Elementary,0.11631875,17
599,c3h5-a + ho2 => c3h5o + oh,Elementary,0.11515533,11
1323,c7h15o2-4 => c7h14ooh4-2,Elementary,0.11438352,6
51,h + o2 (+M) => ho2 (+M),Falloff,0.11151213,7
641,ch3 + oh => ch2(s) + h2o,Elementary,0.11075093,11
1279,c7h15o2-3 => c7h15-3 + o2,Elementary,0.109232,3
1005,ch2(s) + M => ch2 + M,ThirdBody,0.10712398,8
1409,c7h14ooh2-4o2 => c7h14ooh2-4 + o2,Elementary,0.10659268,3
1,ch3 + h (+M) => ch4 (+M),Falloff,0.10604249,10
322,ch3 + c2h5 => c3h8,Elementary,0.10534139,7
759,pc4h9o2 => c4h8ooh1-3,Elementary,0.10281626,6
1278,c7h15-2 + o2 => c7h15o2-2,Elementary,0.09718919,5
1307,c7h15o2-2 => c7h14ooh2-3,Elementary,0.09670932,3
1187,c7h15-2 => pc4h9 + c3h6,Elementary,0.09666671,4
1301,c7h15o2-1 => c7h14ooh1-2,Elementary,0.09637482,4
907,ch3 + o2 => ch2o + oh,Elementary,0.09626376,6
123,c2h4 + oh => c2h3 + h2o,Elementary,0.09596635,11
121,c2h4 + h => c2h3 + h2,Elementary,0.09589494,7
1277,c7h15o2-2 => c7h15-2 + o2,Elementary,0.0955043,5
309,c3h6 + h => c3h5-a + h2,Elementary,0.09538941,17
97,ho2 + oh => h2o + o2,Elementary,0.09438208,18
3,ch4 + h => ch3 + h2,Elementary,0.09197062,3
21,oh + h2 => h + h2o,Elementary,0.09122583,13
1303,c7h15o2-1 => c7h14ooh1-3,Elementary,0.08782923,6
1089,nc7h16 + oh => c7h15-4 + h2o,Elementary,0.08657702,3
63,ch2o + oh => hco + h2o,Elementary,0.08619608,2
1420,c7h14ooh3-5 + o2 => c7h14ooh3-5o2,Elementary,0.08586217,3
1441,c7h14ooh3-5o2 => nc7ket35 + oh,Elementary,0.08549729,4
1280,c7h15-3 + o2 => c7h15o2-3,Elementary,0.08408315,3
1069,nc7h16 + h => c7h15-2 + h2,Elementary,0.08360088,13
1427,c7h14ooh1-3o2 => nc7ket13 + oh,Elementary,0.08318428,4
1097,nc7h16 + ho2 => c7h15-4 + h2o2,Elementary,0.08165431,8
737,c4h8ooh1-3o2 => nc4ket13 + oh,Elementary,0.08068722,4
293,nc3h7 => ch3 + c2h4,Elementary,0.0804116,5
1406,c7h14ooh1-3 + o2 => c7h14ooh1-3o2,Elementary,0.08025578,3
77,hco + ch3 => ch4 + co,Elementary,0.0797462,10
1325,c7h15o2-4 => c7h14ooh4-3,Elementary,0.07850417,4
1006,ch2 + M => ch2(s) + M,ThirdBody,0.07783401,3
