Case_ID,Temperature,Reaction_ID,YAML_Index,Reaction,Reaction_Type,Sensitivity,Abs_Sensitivity,Max_Carbon
36,1456.0,1071,1070,nc7h16 + h => c7h15-3 + h2,Elementary,0.08383866,0.08383866,7
36,1456.0,1069,1068,nc7h16 + h => c7h15-2 + h2,Elementary,0.06686309,0.06686309,7
21,1426.0,1071,1070,nc7h16 + h => c7h15-3 + h2,Elementary,0.11961,0.11961,7
21,1426.0,1069,1068,nc7h16 + h => c7h15-2 + h2,Elementary,0.08086868,0.08086868,7
3,850.0,1309,1308,c7h15o2-2 => c7h14ooh2-4,Elementary,-0.12468574,0.12468574,7
3,850.0,1319,1318,c7h15o2-3 => c7h14ooh3-5,Elementary,-0.10442523,0.10442523,7
3,850.0,1089,1088,nc7h16 + oh => c7h15-4 + h2o,Elementary,-0.08657702,0.08657702,7
3,850.0,1323,1322,c7h15o2-4 => c7h14ooh4-2,Elementary,-0.07802521,0.07802521,7
3,850.0,1087,1086,nc7h16 + oh => c7h15-3 + h2o,Elementary,-0.07042359,0.07042359,7
3,850.0,1303,1302,c7h15o2-1 => c7h14ooh1-3,Elementary,-0.06137415,0.06137415,7
3,850.0,1427,1426,c7h14ooh1-3o2 => nc7ket13 + oh,Elementary,-0.05929825,0.05929825,7
3,850.0,1325,1324,c7h15o2-4 => c7h14ooh4-3,Elementary,0.0578101,0.0578101,7
3,850.0,1431,1430,c7h14ooh2-4o2 => nc7ket24 + oh,Elementary,-0.05768981,0.05768981,7
3,850.0,1085,1084,nc7h16 + oh => c7h15-2 + h2o,Elementary,-0.05523935,0.05523935,7
3,850.0,1441,1440,c7h14ooh3-5o2 => nc7ket35 + oh,Elementary,-0.0536631,0.0536631,7
3,850.0,1301,1300,c7h15o2-1 => c7h14ooh1-2,Elementary,0.05336614,0.05336614,7
22,1378.0,1071,1070,nc7h16 + h => c7h15-3 + h2,Elementary,0.13006436,0.13006436,7
22,1378.0,1069,1068,nc7h16 + h => c7h15-2 + h2,Elementary,0.07523742,0.07523742,7
22,1378.0,1073,1072,nc7h16 + h => c7h15-4 + h2,Elementary,-0.05011795,0.05011795,7
14,950.0,1093,1092,nc7h16 + ho2 => c7h15-2 + h2o2,Elementary,-0.18344501,0.18344501,7
14,950.0,1095,1094,nc7h16 + ho2 => c7h15-3 + h2o2,Elementary,-0.16666443,0.16666443,7
14,950.0,1309,1308,c7h15o2-2 => c7h14ooh2-4,Elementary,-0.12829381,0.12829381,7
14,950.0,1278,1277,c7h15-2 + o2 => c7h15o2-2,Elementary,-0.09718919,0.09718919,7
14,950.0,1187,1186,c7h15-2 => pc4h9 + c3h6,Elementary,0.09666671,0.09666671,7
14,950.0,1277,1276,c7h15o2-2 => c7h15-2 + o2,Elementary,0.09325415,0.09325415,7
14,950.0,1097,1096,nc7h16 + ho2 => c7h15-4 + h2o2,Elementary,-0.08165431,0.08165431,7
14,950.0,1410,1409,c7h14ooh2-4 + o2 => c7h14ooh2-4o2,Elementary,-0.07881341,0.07881341,7
14,950.0,1323,1322,c7h15o2-4 => c7h14ooh4-2,Elementary,-0.07820206,0.07820206,7
14,950.0,1431,1430,c7h14ooh2-4o2 => nc7ket24 + oh,Elementary,-0.07412737,0.07412737,7
14,950.0,1091,1090,nc7h16 + ho2 => c7h15-1 + h2o2,Elementary,-0.07179884,0.07179884,7
14,950.0,1141,1140,nc7h16 + ch3o2 => c7h15-2 + ch3o2h,Elementary,-0.07043027,0.07043027,7
14,950.0,1143,1142,nc7h16 + ch3o2 => c7h15-3 + ch3o2h,Elementary,-0.06806444,0.06806444,7
14,950.0,1193,1192,c7h15-3 => c4h8-1 + nc3h7,Elementary,0.06535347,0.06535347,7
14,950.0,1319,1318,c7h15o2-3 => c7h14ooh3-5,Elementary,-0.06405652,0.06405652,7
14,950.0,1303,1302,c7h15o2-1 => c7h14ooh1-3,Elementary,-0.05683881,0.05683881,7
14,950.0,1282,1281,c7h15-4 + o2 => c7h15o2-4,Elementary,-0.05627965,0.05627965,7
14,950.0,1201,1200,c7h15-4 => c2h5 + c5h10-1,Elementary,0.05033138,0.05033138,7
