Species,Carbon_Number,Occurrences
nc7h16,7,103
h,0,36
h2,0,36
c7h15-3,7,51
c7h15-2,7,49
c7h15o2-2,7,27
c7h14ooh2-4,7,27
c7h14ooh3-5,7,17
c7h15o2-3,7,20
oh,0,33
c7h15-4,7,23
h2o,0,10
c7h14ooh4-2,7,12
c7h15o2-4,7,15
c7h14ooh1-3,7,12
c7h15o2-1,7,10
nc7ket13,7,4
c7h14ooh1-3o2,7,10
c7h14ooh4-3,7,4
c7h14ooh2-4o2,7,14
nc7ket24,7,7
c7h14ooh3-5o2,7,10
nc7ket35,7,4
c7h14ooh1-2,7,4
ho2,0,38
h2o2,0,38
o2,0,47
pc4h9,4,5
c3h6,3,4
c7h15-1,7,7
ch3o2,1,12
ch3o2h,1,12
nc3h7,3,6
c4h8-1,4,5
c5h10-1,5,6
c2h5,2,10
c5h11-1,5,6
c7h14ooh2-3,7,3
c7h14ooh4-2o2,7,9
c7h14ooh3-4,7,3
nc7ket42,7,3
c7h14o2-4,7,3
ch3cho,2,2
ch3coch2,3,1
nc3h7cho,4,1
