Reaction_ID,Reaction,Reaction_Type,Maximum_Abs_Sensitivity,Occurrences
1093,nc7h16 + ho2 => c7h15-2 + h2o2,Elementary,0.18344501,12
1071,nc7h16 + h => c7h15-3 + h2,Elementary,0.18116978,19
1095,nc7h16 + ho2 => c7h15-3 + h2o2,Elementary,0.16666443,12
1309,c7h15o2-2 => c7h14ooh2-4,Elementary,0.164881,14
1319,c7h15o2-3 => c7h14ooh3-5,Elementary,0.13620174,11
1085,nc7h16 + oh => c7h15-2 + h2o,Elementary,0.13325002,4
1193,c7h15-3 => c4h8-1 + nc3h7,Elementary,0.12744391,5
1410,c7h14ooh2-4 + o2 => c7h14ooh2-4o2,Elementary,0.11926781,5
1431,c7h14ooh2-4o2 => nc7ket24 + oh,Elementary,0.11890599,6
1323,c7h15o2-4 => c7h14ooh4-2,Elementary,0.11438352,6
1279,c7h15o2-3 => c7h15-3 + o2,Elementary,0.109232,3
1409,c7h14ooh2-4o2 => c7h14ooh2-4 + o2,Elementary,0.10659268,3
1278,c7h15-2 + o2 => c7h15o2-2,Elementary,0.09718919,5
1307,c7h15o2-2 => c7h14ooh2-3,Elementary,0.09670932,3
1187,c7h15-2 => pc4h9 + c3h6,Elementary,0.09666671,4
1301,c7h15o2-1 => c7h14ooh1-2,Elementary,0.09637482,4
1277,c7h15o2-2 => c7h15-2 + o2,Elementary,0.0955043,5
1303,c7h15o2-1 => c7h14ooh1-3,Elementary,0.08782923,6
1089,nc7h16 + oh => c7h15-4 + h2o,Elementary,0.08657702,3
1420,c7h14ooh3-5 + o2 => c7h14ooh3-5o2,Elementary,0.08586217,3
1441,c7h14ooh3-5o2 => nc7ket35 + oh,Elementary,0.08549729,4
1280,c7h15-3 + o2 => c7h15o2-3,Elementary,0.08408315,3
1069,nc7h16 + h => c7h15-2 + h2,Elementary,0.08360088,13
1427,c7h14ooh1-3o2 => nc7ket13 + oh,Elementary,0.08318428,4
1097,nc7h16 + ho2 => c7h15-4 + h2o2,Elementary,0.08165431,8
1406,c7h14ooh1-3 + o2 => c7h14ooh1-3o2,Elementary,0.08025578,3
1325,c7h15o2-4 => c7h14ooh4-3,Elementary,0.07850417,4
1201,c7h15-4 => c2h5 + c5h10-1,Elementary,0.07717352,4
1281,c7h15o2-4 => c7h15-4 + o2,Elementary,0.07571164,3
1423,c7h14ooh4-2o2 => c7h14ooh4-2 + o2,Elementary,0.07435796,3
1424,c7h14ooh4-2 + o2 => c7h14ooh4-2o2,Elementary,0.07407676,3
1419,c7h14ooh3-5o2 => c7h14ooh3-5 + o2,Elementary,0.07388606,3
1317,c7h15o2-3 => c7h14ooh3-4,Elementary,0.07312879,3
1091,nc7h16 + ho2 => c7h15-1 + h2o2,Elementary,0.07179884,6
1073,nc7h16 + h => c7h15-4 + h2,Elementary,0.07153684,3
1445,c7h14ooh4-2o2 => nc7ket42 + oh,Elementary,0.07099407,3
1141,nc7h16 + ch3o2 => c7h15-2 + ch3o2h,Elementary,0.07043027,6
1087,nc7h16 + oh => c7h15-3 + h2o,Elementary,0.07042359,3
1383,c7h14ooh2-4 => c7h14o2-4 + oh,Elementary,0.06994363,3
1143,nc7h16 + ch3o2 => c7h15-3 + ch3o2h,Elementary,0.0681284,6
1397,c7h14ooh2-4 => oh + ch3cho + c5h10-1,Elementary,0.06620609,2
1282,c7h15-4 + o2 => c7h15o2-4,Elementary,0.06164471,2
1063,nc7h16 => c5h11-1 + c2h5,Elementary,0.06131327,6
1067,nc7h16 + h => c7h15-1 + h2,Elementary,0.05888872,1
1405,c7h14ooh1-3o2 => c7h14ooh1-3 + o2,Elementary,0.05818727,3
1453,nc7ket24 => nc3h7cho + ch3coch2 + oh,Elementary,0.05466415,1
1065,nc7h16 => pc4h9 + nc3h7,Elementary,0.05020648,1
