Case_ID,Temperature,Reaction_ID,YAML_Index,Reaction,Reaction_Type,Sensitivity,Abs_Sensitivity,Max_Carbon
2,1287.0,10,9,O2 + H <=> O + OH,Elementary,-0.38772064,0.38772064,0
2,1287.0,129,128,CH3 + HO2 <=> CH3O + OH,Elementary,-0.24649532,0.24649532,0
2,1287.0,2187,2186,MB-C5H10O2 <=> ME2J + C2H5,PLOG,-0.21753908,0.21753908,0
2,1287.0,65,64,CH3 + HO2 <=> CH4 + O2,Elementary,0.1946444,0.1946444,0
2,1287.0,2218,2217,MB-C5H10O2 + H <=> H2 + MB2J,Duplicate,0.15410866,0.15410866,0
2,1287.0,2186,2185,MB-C5H10O2 <=> BAOJ + CH3,PLOG,-0.11817734,0.11817734,0
2,1287.0,2199,2198,MB-C5H10O2 + H <=> H2 + MB3J,Duplicate,0.0993346,0.0993346,0
2,1287.0,119,118,CH3 + O2 <=> CH2O + OH,Elementary,-0.08609506,0.08609506,0
2,1287.0,2204,2203,MB-C5H10O2 + OH <=> H2O + MB3J,Elementary,0.07995069,0.07995069,0
2,1287.0,2198,2197,MB-C5H10O2 + H <=> H2 + MBMJ,Duplicate,0.07774392,0.07774392,0
2,1287.0,121,120,CH3O2 <=> CH2O2H,Elementary,-0.07547139,0.07547139,0
2,1287.0,2221,2220,MB-C5H10O2 + OH <=> H2O + MB2J,Elementary,0.06737865,0.06737865,0
2,1287.0,2212,2211,MB-C5H10O2 + OH <=> H2O + MB4J,Elementary,-0.06347322,0.06347322,0
2,1287.0,37,36,OH + HO2 <=> H2O + O2,Duplicate,0.05846181,0.05846181,0
2,1287.0,194,193,CH2O + H <=> HCO + H2,Elementary,0.05640782,0.05640782,0
2,1287.0,2161,2160,MP2D + OH => MP2DMJ + H2O,Elementary,-0.05541233,0.05541233,0
2,1287.0,286,285,C2H4 + OH <=> C2H3 + H2O,Elementary,-0.05526407,0.05526407,0
2,1287.0,197,196,CH2O + CH3 <=> HCO + CH4,Elementary,-0.05422247,0.05422247,0
5,1292.0,10,9,O2 + H <=> O + OH,Elementary,-0.36662135,0.36662135,0
5,1292.0,129,128,CH3 + HO2 <=> CH3O + OH,Elementary,-0.24671698,0.24671698,0
5,1292.0,65,64,CH3 + HO2 <=> CH4 + O2,Elementary,0.2225289,0.2225289,0
5,1292.0,2187,2186,MB-C5H10O2 <=> ME2J + C2H5,PLOG,-0.17681488,0.17681488,0
5,1292.0,2218,2217,MB-C5H10O2 + H <=> H2 + MB2J,Duplicate,0.14285345,0.14285345,0
5,1292.0,2186,2185,MB-C5H10O2 <=> BAOJ + CH3,PLOG,-0.11914196,0.11914196,0
5,1292.0,119,118,CH3 + O2 <=> CH2O + OH,Elementary,-0.10036209,0.10036209,0
5,1292.0,121,120,CH3O2 <=> CH2O2H,Elementary,-0.09856773,0.09856773,0
5,1292.0,2212,2211,MB-C5H10O2 + OH <=> H2O + MB4J,Elementary,-0.09480229,0.09480229,0
5,1292.0,2199,2198,MB-C5H10O2 + H <=> H2 + MB3J,Duplicate,0.09342094,0.09342094,0
5,1292.0,2204,2203,MB-C5H10O2 + OH <=> H2O + MB3J,Elementary,0.09087158,0.09087158,0
5,1292.0,2221,2220,MB-C5H10O2 + OH <=> H2O + MB2J,Elementary,0.07473942,0.07473942,0
5,1292.0,2198,2197,MB-C5H10O2 + H <=> H2 + MBMJ,Duplicate,0.07109044,0.07109044,0
5,1292.0,37,36,OH + HO2 <=> H2O + O2,Duplicate,0.06343866,0.06343866,0
5,1292.0,2161,2160,MP2D + OH => MP2DMJ + H2O,Elementary,-0.05964253,0.05964253,0
5,1292.0,197,196,CH2O + CH3 <=> HCO + CH4,Elementary,-0.05419477,0.05419477,0
5,1292.0,286,285,C2H4 + OH <=> C2H3 + H2O,Elementary,-0.05419144,0.05419144,0
17,1325.0,3913,3912,MP1J <=> C2H4 + CH3OCO,Elementary,-0.31716887,0.31716887,0
17,1325.0,3912,3911,MB-C5H10O2 <=> MP1J + CH3,PLOG,-0.23945771,0.23945771,0
17,1325.0,2187,2186,MB-C5H10O2 <=> ME2J + C2H5,PLOG,-0.14174081,0.14174081,0
17,1325.0,2186,2185,MB-C5H10O2 <=> BAOJ + CH3,PLOG,-0.10165414,0.10165414,0
17,1325.0,2216,2215,MB-C5H10O2 + H <=> H2 + MB4J,Duplicate,-0.05638473,0.05638473,0
4,1368.0,10,9,O2 + H <=> O + OH,Elementary,-0.36739848,0.36739848,0
4,1368.0,129,128,CH3 + HO2 <=> CH3O + OH,Elementary,-0.2162958,0.2162958,0
4,1368.0,2187,2186,MB-C5H10O2 <=> ME2J + C2H5,PLOG,-0.18817355,0.18817355,0
4,1368.0,65,64,CH3 + HO2 <=> CH4 + O2,Elementary,0.15156905,0.15156905,0
4,1368.0,2186,2185,MB-C5H10O2 <=> BAOJ + CH3,PLOG,-0.12813387,0.12813387,0
4,1368.0,2218,2217,MB-C5H10O2 + H <=> H2 + MB2J,Duplicate,0.12810517,0.12810517,0
4,1368.0,2199,2198,MB-C5H10O2 + H <=> H2 + MB3J,Duplicate,0.08295896,0.08295896,0
4,1368.0,119,118,CH3 + O2 <=> CH2O + OH,Elementary,-0.07886742,0.07886742,0
4,1368.0,121,120,CH3O2 <=> CH2O2H,Elementary,-0.07571261,0.07571261,0
4,1368.0,2212,2211,MB-C5H10O2 + OH <=> H2O + MB4J,Elementary,-0.07471871,0.07471871,0
4,1368.0,2198,2197,MB-C5H10O2 + H <=> H2 + MBMJ,Duplicate,0.06846466,0.06846466,0
4,1368.0,2204,2203,MB-C5H10O2 + OH <=> H2O + MB3J,Elementary,0.0677269,0.0677269,0
4,1368.0,37,36,OH + HO2 <=> H2O + O2,Duplicate,0.06030641,0.06030641,0
4,1368.0,2221,2220,MB-C5H10O2 + OH <=> H2O + MB2J,Elementary,0.05833421,0.05833421,0
4,1368.0,194,193,CH2O + H <=> HCO + H2,Elementary,0.05672873,0.05672873,0
4,1368.0,286,285,C2H4 + OH <=> C2H3 + H2O,Elementary,-0.05653319,0.05653319,0
4,1368.0,203,202,HCO + M <=> H + CO + M,ThirdBody,-0.0528554,0.0528554,0
8,1371.0,3913,3912,MP1J <=> C2H4 + CH3OCO,Elementary,-0.38167865,0.38167865,0
8,1371.0,3912,3911,MB-C5H10O2 <=> MP1J + CH3,PLOG,-0.21584014,0.21584014,0
8,1371.0,2187,2186,MB-C5H10O2 <=> ME2J + C2H5,PLOG,-0.13131371,0.13131371,0
8,1371.0,2216,2215,MB-C5H10O2 + H <=> H2 + MB4J,Duplicate,-0.05579622,0.05579622,0
11,1377.0,3913,3912,MP1J <=> C2H4 + CH3OCO,Elementary,-0.32438571,0.32438571,0
11,1377.0,3912,3911,MB-C5H10O2 <=> MP1J + CH3,PLOG,-0.2135119,0.2135119,0
11,1377.0,2187,2186,MB-C5H10O2 <=> ME2J + C2H5,PLOG,-0.11810483,0.11810483,0
11,1377.0,2186,2185,MB-C5H10O2 <=> BAOJ + CH3,PLOG,-0.07991178,0.07991178,0
11,1377.0,2216,2215,MB-C5H10O2 + H <=> H2 + MB4J,Duplicate,-0.05273109,0.05273109,0
14,1384.0,3913,3912,MP1J <=> C2H4 + CH3OCO,Elementary,-0.38297188,0.38297188,0
14,1384.0,3912,3911,MB-C5H10O2 <=> MP1J + CH3,PLOG,-0.23193662,0.23193662,0
14,1384.0,2187,2186,MB-C5H10O2 <=> ME2J + C2H5,PLOG,-0.13779133,0.13779133,0
14,1384.0,2186,2185,MB-C5H10O2 <=> BAOJ + CH3,PLOG,-0.07721726,0.07721726,0
14,1384.0,2216,2215,MB-C5H10O2 + H <=> H2 + MB4J,Duplicate,-0.06774565,0.06774565,0
1,1442.0,10,9,O2 + H <=> O + OH,Elementary,0.44947154,0.44947154,0
1,1442.0,3913,3912,MP1J <=> C2H4 + CH3OCO,Elementary,-0.40700078,0.40700078,0
1,1442.0,3912,3911,MB-C5H10O2 <=> MP1J + CH3,PLOG,-0.25178761,0.25178761,0
1,1442.0,2187,2186,MB-C5H10O2 <=> ME2J + C2H5,PLOG,0.09554437,0.09554437,0
1,1442.0,195,194,CH2O + OH <=> HCO + H2O,Elementary,0.09439953,0.09439953,0
1,1442.0,2212,2211,MB-C5H10O2 + OH <=> H2O + MB4J,Elementary,-0.07978972,0.07978972,0
1,1442.0,194,193,CH2O + H <=> HCO + H2,Elementary,0.0769244,0.0769244,0
1,1442.0,2216,2215,MB-C5H10O2 + H <=> H2 + MB4J,Duplicate,-0.06554068,0.06554068,0
1,1442.0,437,436,CH2CO + H <=> HCCO + H2,Elementary,0.05190481,0.05190481,0
1,1442.0,122,121,CH3 + O <=> CH2O + H,Elementary,0.05046464,0.05046464,0
13,1482.0,3913,3912,MP1J <=> C2H4 + CH3OCO,Elementary,-0.39121147,0.39121147,0
13,1482.0,3912,3911,MB-C5H10O2 <=> MP1J + CH3,PLOG,-0.24073642,0.24073642,0
13,1482.0,2187,2186,MB-C5H10O2 <=> ME2J + C2H5,PLOG,-0.11676835,0.11676835,0
13,1482.0,2216,2215,MB-C5H10O2 + H <=> H2 + MB4J,Duplicate,-0.0654708,0.0654708,0
7,1488.0,3913,3912,MP1J <=> C2H4 + CH3OCO,Elementary,-0.3828461,0.3828461,0
7,1488.0,3912,3911,MB-C5H10O2 <=> MP1J + CH3,PLOG,-0.20605541,0.20605541,0
7,1488.0,2187,2186,MB-C5H10O2 <=> ME2J + C2H5,PLOG,-0.10337073,0.10337073,0
7,1488.0,2216,2215,MB-C5H10O2 + H <=> H2 + MB4J,Duplicate,-0.05569349,0.05569349,0
7,1488.0,2186,2185,MB-C5H10O2 <=> BAOJ + CH3,PLOG,-0.0501298,0.0501298,0
10,1497.0,3913,3912,MP1J <=> C2H4 + CH3OCO,Elementary,-0.33248567,0.33248567,0
10,1497.0,3912,3911,MB-C5H10O2 <=> MP1J + CH3,PLOG,-0.21261499,0.21261499,0
10,1497.0,2187,2186,MB-C5H10O2 <=> ME2J + C2H5,PLOG,-0.10886708,0.10886708,0
10,1497.0,2186,2185,MB-C5H10O2 <=> BAOJ + CH3,PLOG,-0.10760202,0.10760202,0
10,1497.0,2216,2215,MB-C5H10O2 + H <=> H2 + MB4J,Duplicate,-0.0601297,0.0601297,0
16,1530.0,10,9,O2 + H <=> O + OH,Elementary,-0.36549723,0.36549723,0
16,1530.0,2187,2186,MB-C5H10O2 <=> ME2J + C2H5,PLOG,-0.13640659,0.13640659,0
