Species,Carbon_Number,Occurrences
O,0,12
OH,0,74
O2,0,47
H,0,45
CH3,1,47
HO2,0,50
CH3O,1,15
C2H5,2,17
ME2J,3,22
MB-C5H10O2,5,114
CH4,1,9
MB2J,5,17
H2,0,33
BAOJ,4,15
MB3J,5,13
CH2O,1,29
H2O,0,45
MBMJ,5,24
CH3O2,1,18
CH2O2H,1,3
MB4J,5,28
HCO,1,21
MP2D,4,2
MP2DMJ,4,2
C2H3,2,5
C2H4,2,20
CH3OCO,2,13
MP1J,4,25
CO,1,3
CH2CO,2,4
HCCO,2,3
CH2CHO,2,3
MB2OO,5,10
MB2D,5,5
H2O2,0,17
MB2OOH4J,5,10
MB2OOH4O2,5,10
CH3OH,1,4
MB4OOH2O2,5,9
MB3OO,5,3
MB3OOHMJ,5,2
MBKET24,5,2
MBKET42,5,3
MBMOO,5,12
MBMOOH3J,5,6
MB2O,5,6
CH3O2H,1,9
MB4OO,5,9
MB4OOH2J,5,11
ME2DO,3,1
MBMOOH2J,5,4
MB3D,5,1
MBMOOH4J,5,4
MBMOOH4O2,5,1
MBMOOH3O2,5,1
