Reaction_ID,Reaction,Reaction_Type,Maximum_Abs_Sensitivity,Occurrences
2204,MB-C5H10O2 + OH <=> H2O + MB3J,Elementary,1.95316721,7
2212,MB-C5H10O2 + OH <=> H2O + MB4J,Elementary,0.53030735,9
38,2 HO2 <=> H2O2 + O2,Elementary,0.52867713,5
3977,MB2OO <=> MB2D + HO2,Elementary,0.49091023,4
10,O2 + H <=> O + OH,Elementary,0.44947154,8
3913,MP1J <=> C2H4 + CH3OCO,Elementary,0.40700078,13
3982,MB2OOH4J => MB2OO,Elementary,0.35759607,2
3966,MB-C5H10O2 + HO2 <=> H2O2 + MBMJ,Elementary,0.31232906,5
3981,MB2OO => MB2OOH4J,Elementary,0.30856904,4
2190,MB-C5H10O2 + OH <=> H2O + MBMJ,Elementary,0.2995465,5
2183,MB4J => C2H4 + ME2J,Elementary,0.29014885,3
3912,MB-C5H10O2 <=> MP1J + CH3,PLOG,0.25178761,12
129,CH3 + HO2 <=> CH3O + OH,Elementary,0.24671698,6
3719,MB2OOH4J + O2 <=> MB2OOH4O2,Elementary,0.22975598,4
3990,MB4OOH2J => MB4OO,Elementary,0.22635111,4
39,2 HO2 <=> 2 OH + O2,Elementary,0.22497841,4
65,CH3 + HO2 <=> CH4 + O2,Elementary,0.2225289,6
2187,MB-C5H10O2 <=> ME2J + C2H5,PLOG,0.21753908,17
3721,MB4OOH2J + O2 <=> MB4OOH2O2,Elementary,0.20775033,3
195,CH2O + OH <=> HCO + H2O,Elementary,0.20466923,6
3989,MB4OO => MB4OOH2J,Elementary,0.19905972,4
2218,MB-C5H10O2 + H <=> H2 + MB2J,Duplicate,0.15410866,5
3970,MB-C5H10O2 + CH3O2 <=> CH3O2H + MBMJ,Elementary,0.15066459,5
2221,MB-C5H10O2 + OH <=> H2O + MB2J,Elementary,0.13707178,6
2193,MB-C5H10O2 + CH3O => CH3OH + MBMJ,Elementary,0.13704808,4
2186,MB-C5H10O2 <=> BAOJ + CH3,PLOG,0.13221487,15
27,H2O2 (+M) <=> 2 OH (+M),Falloff,0.1276455,3
4005,MB2J + HO2 => MB2O + OH,Elementary,0.12521867,4
134,CH3O2 + HO2 => O2 + CH2O + H2O,Elementary,0.11840244,4
179,CH3O + O2 <=> CH2O + HO2,Elementary,0.11802258,2
3944,MB4OOH2O2 => MB2OOH4O2,Elementary,0.1143755,2
3985,MB3OO => MB3OOHMJ,Elementary,0.11160952,2
3730,MB2OOH4O2 <=> MBKET24 + OH,Elementary,0.10991939,2
3993,MBMOO => MBMOOH2J,Elementary,0.10833433,4
3991,MBMOO => MBMOOH3J,Elementary,0.10352526,5
3967,MB-C5H10O2 + HO2 <=> H2O2 + MB4J,Elementary,0.10116433,4
119,CH3 + O2 <=> CH2O + OH,Elementary,0.10036209,3
2199,MB-C5H10O2 + H <=> H2 + MB3J,Duplicate,0.0993346,5
121,CH3O2 <=> CH2O2H,Elementary,0.09856773,3
200,CH2O + CH3O2 <=> HCO + CH3O2H,Elementary,0.09828649,4
3945,MB2OOH4O2 => MB4OOH2O2,Elementary,0.09426367,2
3723,MB4OOH2O2 <=> MBKET42 + OH,Elementary,0.09315744,2
3995,MBMOO => MBMOOH4J,Elementary,0.09008148,2
307,C2H3 + O2 <=> CH2CHO + O,PLOG,0.08331216,2
2198,MB-C5H10O2 + H <=> H2 + MBMJ,Duplicate,0.07774392,4
194,CH2O + H <=> HCO + H2,Elementary,0.0769244,5
2216,MB-C5H10O2 + H <=> H2 + MB4J,Duplicate,0.07688816,11
203,HCO + M <=> H + CO + M,ThirdBody,0.07662996,2
3636,ME2J => CH2CO + CH3O,Elementary,0.07445865,1
197,CH2O + CH3 <=> HCO + CH4,Elementary,0.06899699,3
437,CH2CO + H <=> HCCO + H2,Elementary,0.06643579,3
4009,MB2J + CH3O2 => MB2O + CH3O,Elementary,0.06568188,2
2178,MBMJ => MB3J,Elementary,0.06535714,1
36,OH + HO2 <=> H2O + O2,Duplicate,0.06343866,3
2161,MP2D + OH => MP2DMJ + H2O,Elementary,0.05964253,2
3718,MBMOOH4J + O2 <=> MBMOOH4O2,Elementary,0.05920262,1
122,CH3 + O <=> CH2O + H,Elementary,0.05838137,2
204,HCO + O2 <=> CO + HO2,Elementary,0.05826973,1
3743,MBKET42 => OH + CH2CHO + ME2DO,Elementary,0.05732985,1
286,C2H4 + OH <=> C2H3 + H2O,Elementary,0.05653319,3
3996,MBMOOH4J => MBMOO,Elementary,0.05511757,1
3979,MB3OO <=> MB2D + HO2,Elementary,0.05495672,1
2184,C2H4 + ME2J => MB4J,Elementary,0.0526859,1
3980,MB4OO <=> MB3D + HO2,Elementary,0.05255541,1
3717,MBMOOH3J + O2 <=> MBMOOH3O2,Elementary,0.05088048,1
