"Reaction_ID","Reaction","Reaction_Type","Maximum_Abs_Sensitivity","Occurrences","Group","f"
2204,"MB-C5H10O2 + OH <=> H2O + MB3J","Elementary",1.95316721,7,"HTC",4
2212,"MB-C5H10O2 + OH <=> H2O + MB4J","Elementary",0.53030735,9,"HTC",4
3977,"MB2OO <=> MB2D + HO2","Elementary",0.49091023,4,"LTC",4
3982,"MB2OOH4J => MB2OO","Elementary",0.35759607,2,"LTC",4
3966,"MB-C5H10O2 + HO2 <=> H2O2 + MBMJ","Elementary",0.31232906,5,"HTC",4
3981,"MB2OO => MB2OOH4J","Elementary",0.30856904,4,"LTC",4
2190,"MB-C5H10O2 + OH <=> H2O + MBMJ","Elementary",0.2995465,5,"HTC",4
2183,"MB4J => C2H4 + ME2J","Elementary",0.29014885,3,"HTC",4
3912,"MB-C5H10O2 <=> MP1J + CH3","PLOG",0.25178761,12,"HTC",4
3719,"MB2OOH4J + O2 <=> MB2OOH4O2","Elementary",0.22975598,4,"LTC",4
3990,"MB4OOH2J => MB4OO","Elementary",0.22635111,4,"LTC",4
2187,"MB-C5H10O2 <=> ME2J + C2H5","PLOG",0.21753908,17,"HTC",4
3721,"MB4OOH2J + O2 <=> MB4OOH2O2","Elementary",0.20775033,3,"LTC",4
3989,"MB4OO => MB4OOH2J","Elementary",0.19905972,4,"LTC",4
2218,"MB-C5H10O2 + H <=> H2 + MB2J","Duplicate",0.15410866,5,"HTC",4
3970,"MB-C5H10O2 + CH3O2 <=> CH3O2H + MBMJ","Elementary",0.15066459,5,"HTC",4
2221,"MB-C5H10O2 + OH <=> H2O + MB2J","Elementary",0.13707178,6,"HTC",4
2193,"MB-C5H10O2 + CH3O => CH3OH + MBMJ","Elementary",0.13704808,4,"HTC",4
2186,"MB-C5H10O2 <=> BAOJ + CH3","PLOG",0.13221487,15,"HTC",4
4005,"MB2J + HO2 => MB2O + OH","Elementary",0.12521867,4,"HTC",4
3944,"MB4OOH2O2 => MB2OOH4O2","Elementary",0.1143755,2,"LTC",4
3985,"MB3OO => MB3OOHMJ","Elementary",0.11160952,2,"LTC",4
3730,"MB2OOH4O2 <=> MBKET24 + OH","Elementary",0.10991939,2,"LTC",4
3993,"MBMOO => MBMOOH2J","Elementary",0.10833433,4,"LTC",4
3991,"MBMOO => MBMOOH3J","Elementary",0.10352526,5,"LTC",4
3967,"MB-C5H10O2 + HO2 <=> H2O2 + MB4J","Elementary",0.10116433,4,"HTC",4
2199,"MB-C5H10O2 + H <=> H2 + MB3J","Duplicate",0.0993346,5,"HTC",4
3945,"MB2OOH4O2 => MB4OOH2O2","Elementary",0.09426367,2,"LTC",4
3723,"MB4OOH2O2 <=> MBKET42 + OH","Elementary",0.09315744,2,"LTC",4
3995,"MBMOO => MBMOOH4J","Elementary",0.09008148,2,"LTC",4
2198,"MB-C5H10O2 + H <=> H2 + MBMJ","Duplicate",0.07774392,4,"HTC",4
2216,"MB-C5H10O2 + H <=> H2 + MB4J","Duplicate",0.07688816,11,"HTC",4
4009,"MB2J + CH3O2 => MB2O + CH3O","Elementary",0.06568188,2,"HTC",4
2178,"MBMJ => MB3J","Elementary",0.06535714,1,"HTC",4
3718,"MBMOOH4J + O2 <=> MBMOOH4O2","Elementary",0.05920262,1,"LTC",4
3743,"MBKET42 => OH + CH2CHO + ME2DO","Elementary",0.05732985,1,"LTC",4
3996,"MBMOOH4J => MBMOO","Elementary",0.05511757,1,"LTC",4
3979,"MB3OO <=> MB2D + HO2","Elementary",0.05495672,1,"LTC",4
2184,"C2H4 + ME2J => MB4J","Elementary",0.0526859,1,"HTC",4
3980,"MB4OO <=> MB3D + HO2","Elementary",0.05255541,1,"LTC",4
3717,"MBMOOH3J + O2 <=> MBMOOH3O2","Elementary",0.05088048,1,"LTC",4
