"Sr","a","Ox","bg1","T","P","Tig","sigma"
"ing_Ethyl_Butanoate",0.0313,0.2035,0.7652,684.32,3031000,120978,12097.8
"dummy_ing_Ethyl_Butanoate_dense",0.0313,0.2035,0.7652,688.432,2971500,108492.2395,10849.22395
"dummy_ing_Ethyl_Butanoate_dense",0.0313,0.2035,0.7652,692.544,2971500,94867.09278,9486.709278
"dummy_ing_Ethyl_Butanoate_dense",0.0313,0.2035,0.7652,696.656,2971500,84168.02783,8416.802783
"ing_Ethyl_Butanoate",0.0313,0.2035,0.7652,698.71,3024000,85520,8552
"dummy_ing_Ethyl_Butanoate_dense",0.0313,0.2035,0.7652,700.768,2971500,75713.67696,7571.367696
"dummy_ing_Ethyl_Butanoate_dense",0.0313,0.2035,0.7652,704.88,2971500,69004.61493,6900.461493
"dummy_ing_Ethyl_Butanoate_dense",0.0313,0.2035,0.7652,708.992,2971500,63670.68663,6367.068663
"dummy_ing_Ethyl_Butanoate_dense",0.0313,0.2035,0.7652,713.104,2971500,59434.62311,5943.462311
"dummy_ing_Ethyl_Butanoate_dense",0.0313,0.2035,0.7652,717.216,2971500,56086.59322,5608.659322
"ing_Ethyl_Butanoate",0.0313,0.2035,0.7652,719.03,2978000,54544,5454.4
"dummy_ing_Ethyl_Butanoate_dense",0.0313,0.2035,0.7652,721.328,2971500,53466.18083,5346.618083
"dummy_ing_Ethyl_Butanoate_dense",0.0313,0.2035,0.7652,725.44,2971500,51449.45797,5144.945797
"dummy_ing_Ethyl_Butanoate_dense",0.0313,0.2035,0.7652,729.552,2971500,49939.58958,4993.958958
"dummy_ing_Ethyl_Butanoate_dense",0.0313,0.2035,0.7652,733.664,2971500,48859.90786,4885.990786
"dummy_ing_Ethyl_Butanoate_dense",0.0313,0.2035,0.7652,737.776,2971500,48148.72746,4814.872746
"ing_Ethyl_Butanoate",0.0313,0.2035,0.7652,740.79,2962000,46404,4640.4
"dummy_ing_Ethyl_Butanoate_dense",0.0313,0.2035,0.7652,741.888,2971500,47755.39742,4775.539742
"dummy_ing_Ethyl_Butanoate_dense",0.0313,0.2035,0.7652,746,2971500,47637.23869,4763.723869
"dummy_ing_Ethyl_Butanoate_dense",0.0313,0.2035,0.7652,750.9333333,2971500,47806.59909,4780.659909
"dummy_ing_Ethyl_Butanoate_dense",0.0313,0.2035,0.7652,755.8666667,2971500,48261.18706,4826.118706
"dummy_ing_Ethyl_Butanoate_dense",0.0313,0.2035,0.7652,760.8,2971500,48947.00584,4894.700584
"ing_Ethyl_Butanoate",0.0313,0.2035,0.7652,762.34,2940000,47990,4799
"dummy_ing_Ethyl_Butanoate_dense",0.0313,0.2035,0.7652,765.7333333,2971500,49810.55049,4981.055049
"dummy_ing_Ethyl_Butanoate_dense",0.0313,0.2035,0.7652,770.6666667,2971500,50796.37642,5079.637642
"dummy_ing_Ethyl_Butanoate_dense",0.0313,0.2035,0.7652,775.6,2971500,51845.30153,5184.530153
"dummy_ing_Ethyl_Butanoate_dense",0.0313,0.2035,0.7652,780.5333333,2971500,52893.27487,5289.327487
"dummy_ing_Ethyl_Butanoate_dense",0.0313,0.2035,0.7652,785.4666667,2971500,53870.99413,5387.099413
"dummy_ing_Ethyl_Butanoate_dense",0.0313,0.2035,0.7652,790.4,2971500,54704.38043,5470.438043
"ing_Ethyl_Butanoate",0.0313,0.2035,0.7652,794.22,2965000,58972,5897.2
"dummy_ing_Ethyl_Butanoate_dense",0.0313,0.2035,0.7652,795.3333333,2971500,55316.01657,5531.601657
"dummy_ing_Ethyl_Butanoate_dense",0.0313,0.2035,0.7652,800.2666667,2971500,55627.61922,5562.761922
"dummy_ing_Ethyl_Butanoate_dense",0.0313,0.2035,0.7652,805.2,2971500,55563.54281,5556.354281
"ing_Ethyl_Butanoate",0.0313,0.2035,0.7652,806.6,3003000,54024,5402.4
"dummy_ing_Ethyl_Butanoate_dense",0.0313,0.2035,0.7652,810.1333333,2971500,55055.20271,5505.520271
"dummy_ing_Ethyl_Butanoate_dense",0.0313,0.2035,0.7652,815.0666667,2971500,54046.16513,5404.616513
"dummy_ing_Ethyl_Butanoate_dense",0.0313,0.2035,0.7652,820,2971500,52497.49522,5249.749522
"ing_Ethyl_Butanoate",0.0313,0.2035,0.7652,820.07,2945000,52008,5200.8
"dummy_ing_Butanoate_NTC_dense",0.0313,0.2035,0.7652,823.4666667,3000000,60444.24957,6044.424957
"dummy_ing_Butanoate_NTC_dense",0.0313,0.2035,0.7652,828.4,3000000,61466.1068,6146.61068
"ing_Butanoate",0.0313,0.2035,0.7652,832.82,3000000,57700,5770
"dummy_ing_Butanoate_NTC_dense",0.0313,0.2035,0.7652,838.2666667,3000000,52613.75948,5261.375948
"dummy_ing_Butanoate_NTC_dense",0.0313,0.2035,0.7652,843.2,3000000,41344.66377,4134.466377
"ing_Butanoate",0.0313,0.2035,0.7652,845.45,3000000,37400,3740
"dummy_ing_Butanoate_NTC_dense",0.0313,0.2035,0.7652,848.1333333,3000000,33777.37193,3377.737193
"dummy_ing_Butanoate_NTC_dense",0.0313,0.2035,0.7652,853.0666667,3000000,27734.91161,2773.491161
"dummy_ing_Butanoate_NTC_dense",0.0313,0.2035,0.7652,858,3000000,22379.0414,2237.90414
"ing_Butanoate",0.0313,0.2035,0.7652,858.77,3000000,21600,2160
"dummy_ing_Butanoate_NTC_dense",0.0313,0.2035,0.7652,861.61,3000000,18523.44656,1852.344656
"dummy_ing_Butanoate_NTC_dense",0.0313,0.2035,0.7652,865.22,3000000,14931.0237,1493.10237
"ing_Butanoate",0.0313,0.2035,0.7652,869.05,3000000,12600,1260
"dummy_ing_Butanoate_NTC_dense",0.0313,0.2035,0.7652,872.44,3000000,11672.60326,1167.260326
"dummy_ing_Butanoate_NTC_dense",0.0313,0.2035,0.7652,876.05,3000000,11020.6108,1102.06108
"dummy_ing_Butanoate_NTC_dense",0.0313,0.2035,0.7652,879.66,3000000,10361.92806,1036.192806
"ing_Butanoate",0.0313,0.2035,0.7652,881.23,3000000,10000,1000
"dummy_ing_Butanoate_NTC_dense",0.0313,0.2035,0.7652,883.27,3000000,9403.774297,940.3774297
"dummy_ing_Butanoate_NTC_dense",0.0313,0.2035,0.7652,886.88,3000000,8139.15373,813.915373
"dummy_ing_Butanoate_NTC_dense",0.0313,0.2035,0.7652,890.49,3000000,6929.295202,692.9295202
"dummy_ing_Butanoate_NTC_dense",0.0313,0.2035,0.7652,894.1,3000000,6003.18994,600.318994
"ing_Butanoate",0.0313,0.2035,0.7652,895.8,3000000,5700,570
"dummy_ing_Butanoate_NTC_dense",0.0313,0.2035,0.7652,897.71,3000000,5425.667804,542.5667804
"dummy_ing_Butanoate_NTC_dense",0.0313,0.2035,0.7652,901.32,3000000,4982.417509,498.2417509
"dummy_ing_Butanoate_NTC_dense",0.0313,0.2035,0.7652,904.93,3000000,4639.827151,463.9827151
"dummy_ing_Butanoate_NTC_dense",0.0313,0.2035,0.7652,908.54,3000000,4400,440
