sr_no,dataset_ID,Temperature_K,Pressure_Pa,Phi,Fuel_list,Fuel_total,Bathgas_list,Bathgas_total,target_type,observed,obs_unit,X_AR,X_MB-C5H10O2,X_O2
1,ign_BUTANOATE_phi_1_IGN_PHI_0_25_P_1,1580.128306,100000,0.25,MB-C5H10O2,0.01,AR,0.73,Tig,21.92,us,0.73,0.01,0.26
2,ign_BUTANOATE_phi_1_IGN_PHI_0_25_P_1,1506.841058,100000,0.25,MB-C5H10O2,0.01,AR,0.73,Tig,47.12,us,0.73,0.01,0.26
3,ign_BUTANOATE_phi_1_IGN_PHI_0_25_P_1,1442.21062,100000,0.25,MB-C5H10O2,0.01,AR,0.73,Tig,72.3,us,0.73,0.01,0.26
4,ign_BUTANOATE_phi_1_IGN_PHI_0_25_P_1,1374.967345,100000,0.25,MB-C5H10O2,0.01,AR,0.73,Tig,163.71,us,0.73,0.01,0.26
5,ign_BUTANOATE_phi_1_IGN_PHI_0_25_P_1,1324.345442,100000,0.25,MB-C5H10O2,0.01,AR,0.73,Tig,405.93,us,0.73,0.01,0.26
6,ign_BUTANOATE_phi_1_IGN_PHI_0_25_P_1,1287.813422,100000,0.25,MB-C5H10O2,0.01,AR,0.73,Tig,872.66,us,0.73,0.01,0.26
7,ign_BUTANOATE_phi_1_IGN_PHI_0_25_P_4,1568.332236,400000,0.25,MB-C5H10O2,0.01,AR,0.73,Tig,14.95,us,0.73,0.01,0.26
8,ign_BUTANOATE_phi_1_IGN_PHI_0_25_P_4,1472.840815,400000,0.25,MB-C5H10O2,0.01,AR,0.73,Tig,25.28,us,0.73,0.01,0.26
9,ign_BUTANOATE_phi_1_IGN_PHI_0_25_P_4,1401.915016,400000,0.25,MB-C5H10O2,0.01,AR,0.73,Tig,74.2,us,0.73,0.01,0.26
10,ign_BUTANOATE_phi_1_IGN_PHI_0_25_P_4,1368.531976,400000,0.25,MB-C5H10O2,0.01,AR,0.73,Tig,102.63,us,0.73,0.01,0.26
11,ign_BUTANOATE_phi_1_IGN_PHI_0_25_P_4,1292.774682,400000,0.25,MB-C5H10O2,0.01,AR,0.73,Tig,308.13,us,0.73,0.01,0.26
12,ign_BUTANOATE_phi_1_IGN_PHI_1_P_1,1601.896646,100000,1,MB-C5H10O2,0.01,AR,0.925,Tig,64.3,us,0.925,0.01,0.065
13,ign_BUTANOATE_phi_1_IGN_PHI_1_P_1,1541.544628,100000,1,MB-C5H10O2,0.01,AR,0.925,Tig,99.68,us,0.925,0.01,0.065
14,ign_BUTANOATE_phi_1_IGN_PHI_1_P_1,1488.294563,100000,1,MB-C5H10O2,0.01,AR,0.925,Tig,139.73,us,0.925,0.01,0.065
15,ign_BUTANOATE_phi_1_IGN_PHI_1_P_1,1402.40653,100000,1,MB-C5H10O2,0.01,AR,0.925,Tig,331.48,us,0.925,0.01,0.065
16,ign_BUTANOATE_phi_1_IGN_PHI_1_P_1,1371.873842,100000,1,MB-C5H10O2,0.01,AR,0.925,Tig,553.73,us,0.925,0.01,0.065
17,ign_BUTANOATE_phi_1_IGN_PHI_1_P_4,1573.638409,400000,1,MB-C5H10O2,0.01,AR,0.925,Tig,37.87,us,0.925,0.01,0.065
18,ign_BUTANOATE_phi_1_IGN_PHI_1_P_4,1497.185292,400000,1,MB-C5H10O2,0.01,AR,0.925,Tig,63.67,us,0.925,0.01,0.065
19,ign_BUTANOATE_phi_1_IGN_PHI_1_P_4,1402.386862,400000,1,MB-C5H10O2,0.01,AR,0.925,Tig,189.61,us,0.925,0.01,0.065
20,ign_BUTANOATE_phi_1_IGN_PHI_1_P_4,1377.827992,400000,1,MB-C5H10O2,0.01,AR,0.925,Tig,236.46,us,0.925,0.01,0.065
21,ign_BUTANOATE_phi_1_IGN_PHI_1_5_P_1,1651.582216,100000,1.5,MB-C5H10O2,0.015,AR,0.92,Tig,60.13,us,0.92,0.015,0.065
